State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,Child and Family Well-Being,Other,"CFWB is committed to excellence in the delivery of culturally competent, family-centered and child-focused protective services, investigating reports of suspected child abuse and neglect.","Children, youth, families, and communities",Not specified,Not specified,Not specified,Unknown,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/cs/child_welfare_services.html,2025-12-02,Swindar,Contact email not found; financial assistance status is unknown. Extracted program information is limited; additional details may be available on the county website. Contact email not found; financial assistance is available. No discrepancies found in the extracted data. Contact phone number has a formatting issue (missing closing parenthesis). Data extracted directly from the provided content. No specific contact information or detailed program requirements were found. Contact email not provided. No email contact found; program details are based on the Affordable Care Act information provided. Only one program was identified from the content. No email contact found. Contact email not found; financial assistance status is unknown. Contact email not found; financial assistance status is unknown. No contact information provided for the health department. Contact emails were not provided on the page. Contact email not provided; program details are focused on crisis and outpatient services. Information extracted from the San Diego County website regarding birth certificates. Contact email not found; financial assistance not applicable. No email contact found. No email contact found; financial assistance status is unknown. No email contact found.
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,"Maternal, Child, and Family Health Services (MCFHS)",Maternal Health,"MCFHS provides services aimed at improving the health of mothers, children, and families in San Diego County.","Mothers, children, and families",Not specified,Not specified,Not specified,Unknown,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs.html,2025-12-02,Swindar,Contact email not found; financial assistance status is unknown. Extracted program information is limited; additional details may be available on the county website. Contact email not found; financial assistance is available. No discrepancies found in the extracted data. Contact phone number has a formatting issue (missing closing parenthesis). Data extracted directly from the provided content. No specific contact information or detailed program requirements were found. Contact email not provided. No email contact found; program details are based on the Affordable Care Act information provided. Only one program was identified from the content. No email contact found. Contact email not found; financial assistance status is unknown. Contact email not found; financial assistance status is unknown. No contact information provided for the health department. Contact emails were not provided on the page. Contact email not provided; program details are focused on crisis and outpatient services. Information extracted from the San Diego County website regarding birth certificates. Contact email not found; financial assistance not applicable. No email contact found. No email contact found; financial assistance status is unknown. No email contact found.
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,Children and Youth Crisis Stabilization Unit,Mental Health,The Children and Youth Crisis Stabilization Unit provides psychiatric crisis stabilization for children and adolescents under age 18 experiencing a mental health emergency.,Children and adolescents under age 18,Medi-Cal beneficiaries,"Accessed as a walk-in or brought by parents, guardians, or professionals",Not specified,Yes,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/bhs/csu/esu.html,2025-12-02,Swindar,Contact email not found; financial assistance status is unknown. Extracted program information is limited; additional details may be available on the county website. Contact email not found; financial assistance is available. No discrepancies found in the extracted data. Contact phone number has a formatting issue (missing closing parenthesis). Data extracted directly from the provided content. No specific contact information or detailed program requirements were found. Contact email not provided. No email contact found; program details are based on the Affordable Care Act information provided. Only one program was identified from the content. No email contact found. Contact email not found; financial assistance status is unknown. Contact email not found; financial assistance status is unknown. No contact information provided for the health department. Contact emails were not provided on the page. Contact email not provided; program details are focused on crisis and outpatient services. Information extracted from the San Diego County website regarding birth certificates. Contact email not found; financial assistance not applicable. No email contact found. No email contact found; financial assistance status is unknown. No email contact found.
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,In-Home Supportive Services,Other,"IHSS helps seniors and disabled people with basic needs such as bathing, grooming, dressing, cleaning the house, shopping, laundry, and making meals.",Seniors and disabled individuals,"Meet financial eligibility guidelines, be blind, disabled, or age 65 or older, meet full-scope requirements for Medi-Cal, and be unable to live at home safely without help.","You or someone you know may apply for you. Applications can be made online, by phone, email, mail, or in person.",Not specified,Yes,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/ais/Services/In-Home-Supportive-Services.html,2025-12-02,Swindar,Contact email not found; financial assistance status is unknown. Extracted program information is limited; additional details may be available on the county website. Contact email not found; financial assistance is available. No discrepancies found in the extracted data. Contact phone number has a formatting issue (missing closing parenthesis). Data extracted directly from the provided content. No specific contact information or detailed program requirements were found. Contact email not provided. No email contact found; program details are based on the Affordable Care Act information provided. Only one program was identified from the content. No email contact found. Contact email not found; financial assistance status is unknown. Contact email not found; financial assistance status is unknown. No contact information provided for the health department. Contact emails were not provided on the page. Contact email not provided; program details are focused on crisis and outpatient services. Information extracted from the San Diego County website regarding birth certificates. Contact email not found; financial assistance not applicable. No email contact found. No email contact found; financial assistance status is unknown. No email contact found.
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,Tobacco Control Resource Program,Other,The program focuses on reducing youth access to tobacco and unwanted exposure to secondhand smoke through smoke-free and tobacco sales policies.,Residents of San Diego County,Not specified,Not specified,Not specified,No,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/tobacco_control_resource_program/smoking_laws.html,2025-12-02,Swindar,Contact email not found; financial assistance status is unknown. Extracted program information is limited; additional details may be available on the county website. Contact email not found; financial assistance is available. No discrepancies found in the extracted data. Contact phone number has a formatting issue (missing closing parenthesis). Data extracted directly from the provided content. No specific contact information or detailed program requirements were found. Contact email not provided. No email contact found; program details are based on the Affordable Care Act information provided. Only one program was identified from the content. No email contact found. Contact email not found; financial assistance status is unknown. Contact email not found; financial assistance status is unknown. No contact information provided for the health department. Contact emails were not provided on the page. Contact email not provided; program details are focused on crisis and outpatient services. Information extracted from the San Diego County website regarding birth certificates. Contact email not found; financial assistance not applicable. No email contact found. No email contact found; financial assistance status is unknown. No email contact found.
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,Veterans Services,Other,The Office of Military & Veterans Affairs provides professional services for military veterans and their dependents and survivors who are entitled to benefits from various agencies.,Military veterans and their dependents and survivors,Not specified,Call to make an appointment or email for assistance.,Appointment Checklist and other relevant documents for filing claims.,Unknown,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/ssp/veterans_services.html,2025-12-02,Swindar,Contact email not found; financial assistance status is unknown. Extracted program information is limited; additional details may be available on the county website. Contact email not found; financial assistance is available. No discrepancies found in the extracted data. Contact phone number has a formatting issue (missing closing parenthesis). Data extracted directly from the provided content. No specific contact information or detailed program requirements were found. Contact email not provided. No email contact found; program details are based on the Affordable Care Act information provided. Only one program was identified from the content. No email contact found. Contact email not found; financial assistance status is unknown. Contact email not found; financial assistance status is unknown. No contact information provided for the health department. Contact emails were not provided on the page. Contact email not provided; program details are focused on crisis and outpatient services. Information extracted from the San Diego County website regarding birth certificates. Contact email not found; financial assistance not applicable. No email contact found. No email contact found; financial assistance status is unknown. No email contact found.
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,Self-Sufficiency Services,Other,Self-Sufficiency Programs provide various services to assist individuals and families in achieving self-sufficiency.,Individuals and families seeking assistance,Not specified,Not specified,Not specified,Unknown,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/ssp.html,2025-12-02,Swindar,Contact email not found; financial assistance status is unknown. Extracted program information is limited; additional details may be available on the county website. Contact email not found; financial assistance is available. No discrepancies found in the extracted data. Contact phone number has a formatting issue (missing closing parenthesis). Data extracted directly from the provided content. No specific contact information or detailed program requirements were found. Contact email not provided. No email contact found; program details are based on the Affordable Care Act information provided. Only one program was identified from the content. No email contact found. Contact email not found; financial assistance status is unknown. Contact email not found; financial assistance status is unknown. No contact information provided for the health department. Contact emails were not provided on the page. Contact email not provided; program details are focused on crisis and outpatient services. Information extracted from the San Diego County website regarding birth certificates. Contact email not found; financial assistance not applicable. No email contact found. No email contact found; financial assistance status is unknown. No email contact found.
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,Access Customer Service Call Center,Other,The Access Customer Service Call Center helps people in San Diego County with questions about Family Resource Center (FRC) programs and services.,Residents of San Diego County,Not specified,Call the customer service center or apply online via BenefitsCal.,Not specified,Unknown,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/ssp/access.html,2025-12-02,Swindar,Contact email not found; financial assistance status is unknown. Extracted program information is limited; additional details may be available on the county website. Contact email not found; financial assistance is available. No discrepancies found in the extracted data. Contact phone number has a formatting issue (missing closing parenthesis). Data extracted directly from the provided content. No specific contact information or detailed program requirements were found. Contact email not provided. No email contact found; program details are based on the Affordable Care Act information provided. Only one program was identified from the content. No email contact found. Contact email not found; financial assistance status is unknown. Contact email not found; financial assistance status is unknown. No contact information provided for the health department. Contact emails were not provided on the page. Contact email not provided; program details are focused on crisis and outpatient services. Information extracted from the San Diego County website regarding birth certificates. Contact email not found; financial assistance not applicable. No email contact found. No email contact found; financial assistance status is unknown. No email contact found.
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,Affordable Care Act,Other,"Under the Affordable Care Act, most individuals are required to have health coverage. Individuals may qualify for expanded Medi-Cal or health coverage through Covered California.",Individuals and families seeking health coverage,Modified Adjusted Gross Income less than 138 percent of the Federal Poverty Level for expanded Medi-Cal,Visit Covered California or call 2-1-1 San Diego for assistance,Not specified,Yes,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/ssp/affordable_care_act.html,2025-12-02,Swindar,Contact email not found; financial assistance status is unknown. Extracted program information is limited; additional details may be available on the county website. Contact email not found; financial assistance is available. No discrepancies found in the extracted data. Contact phone number has a formatting issue (missing closing parenthesis). Data extracted directly from the provided content. No specific contact information or detailed program requirements were found. Contact email not provided. No email contact found; program details are based on the Affordable Care Act information provided. Only one program was identified from the content. No email contact found. Contact email not found; financial assistance status is unknown. Contact email not found; financial assistance status is unknown. No contact information provided for the health department. Contact emails were not provided on the page. Contact email not provided; program details are focused on crisis and outpatient services. Information extracted from the San Diego County website regarding birth certificates. Contact email not found; financial assistance not applicable. No email contact found. No email contact found; financial assistance status is unknown. No email contact found.
California,San Diego,https://www.sandiegocounty.gov/,Health & Human Services Agency,Not found,(800) 344-6000,Medi-Cal,Other,Medi-Cal provides health coverage for low-income individuals and families in California.,Low-income individuals and families,Not specified,Not specified,Not specified,Yes,https://www.sandiegocounty.gov/content/sdc/cosd/services.html,2025-12-02,Swindar,Contact email not found; financial assistance status is unknown. Extracted program information is limited; additional details may be available on the county website. Contact email not found; financial assistance is available. No discrepancies found in the extracted data. Contact phone number has a formatting issue (missing closing parenthesis). Data extracted directly from the provided content. No specific contact information or detailed program requirements were found. Contact email not provided. No email contact found; program details are based on the Affordable Care Act information provided. Only one program was identified from the content. No email contact found. Contact email not found; financial assistance status is unknown. Contact email not found; financial assistance status is unknown. No contact information provided for the health department. Contact emails were not provided on the page. Contact email not provided; program details are focused on crisis and outpatient services. Information extracted from the San Diego County website regarding birth certificates. Contact email not found; financial assistance not applicable. No email contact found. No email contact found; financial assistance status is unknown. No email contact found.
